"x","loc_int","code","mu"
3,188,956,0.00103948612841387
0,189,189,0.00102771144552392
1,189,445,0.00101674363312876
2,189,701,0.00104924342870051
3,189,957,0.00103378957573006
0,190,190,0.00102586100032542
1,190,446,0.00101777279306589
2,190,702,0.00103925842435936
3,190,958,0.0010252020397954
0,191,191,0.00100776821831412
1,191,447,0.00099455963719246
2,191,703,0.0010276298997409
3,191,959,0.00100859986980666
0,192,192,0.000958523174369023
1,192,448,0.000951552080464361
2,192,704,0.000945912698156727
3,192,960,0.000937175866158069
0,193,193,0.000951834670276247
1,193,449,0.00094427115000772
2,193,705,0.000947566277227012
3,193,961,0.00093739659918336
0,194,194,0.000955909012485796
1,194,450,0.000943726394679047
2,194,706,0.000939904866119772
3,194,962,0.000923986993806967
0,195,195,0.000949104944378963
1,195,451,0.000938006635169132
2,195,707,0.000938420723541927
3,195,963,0.000923302149706816
0,196,196,0.00101221878003363
1,196,452,0.00101110965100525
2,196,708,0.00100878435247138
3,196,964,0.00100300787960364
0,197,197,0.00100122129397664
1,197,453,0.000998920377833314
2,197,709,0.00100753208674845
3,197,965,0.00100093913477019
0,198,198,0.00101021034027589
1,198,454,0.00100260982609145
2,198,710,0.001007963520842
3,198,966,0.000994350202114718
0,199,199,0.000999350779818346
1,199,455,0.000992466138196773
2,199,711,0.00100268050418439
3,199,967,0.000991005026723822
0,200,200,0.000923811384501135
1,200,456,0.000905443199705228
2,200,712,0.000912525303788331
3,200,968,0.000892686323667571
0,201,201,0.000924521443085845
1,201,457,0.000904405055816423
2,201,713,0.000922224914595148
3,201,969,0.000899199607182511
0,202,202,0.000917639013783565
1,202,458,0.000896665159646684
2,202,714,0.000905384296019706
3,202,970,0.000880958706899558
0,203,203,0.000918313827164892
1,203,459,0.000895328989251404
2,203,715,0.000912387650318527
3,203,971,0.00088503598357142
0,204,204,0.000984898084368023
1,204,460,0.000971931169799529
2,204,716,0.000986979450651002
3,204,972,0.000969276702768179
0,205,205,0.000981776538361546
1,205,461,0.000966756866983265
2,205,717,0.000994852933783442
3,205,973,0.000974482325230485
0,206,206,0.000979862991468181
1,206,462,0.000963552002186106
2,206,718,0.000983650418901224
3,206,974,0.000960746567940718
0,207,207,0.000975848369831141
1,207,463,0.000957384673389376
2,207,719,0.00098687951772798
3,207,975,0.000962025785106555
0,208,208,0.000969791563558603
1,208,464,0.000971286434970601
2,208,720,0.000959266431996144
3,208,976,0.000957241708339969
0,209,209,0.000957180842047253
1,209,465,0.000955521542012267
2,209,721,0.000953571928370846
3,209,977,0.000947886496416573
0,210,210,0.000951282897984373
1,210,466,0.000947180775319963
2,210,722,0.000936959474635348
3,210,978,0.000927967993578298
0,211,211,0.000938536469078735
1,211,467,0.000932885190121268
2,211,723,0.00092910563359333
3,211,979,0.00091841812757038
0,212,212,0.00103084178977945
1,212,468,0.0010362286569816
2,212,724,0.00102958915134904
3,212,980,0.00102859328747237
0,213,213,0.00101101886500846
1,213,469,0.00101361228000175
2,213,725,0.00101946703513205
3,213,981,0.00101586939659257
0,214,214,0.00101116334538571
1,214,470,0.0010095696769662
2,214,726,0.0010105789358029
3,214,982,0.00100218122155882
0,215,215,0.000990978061989179
1,215,471,0.000988303025516392
2,215,727,0.000996626058980511
3,215,983,0.000987894379835078
0,216,216,0.000937608495729597
1,216,472,0.00092717854837441
2,216,728,0.000928772312258779
3,216,984,0.000914418619493179
0,217,217,0.000936850605478646
1,217,473,0.000923138025494668
